recorded_at,plate_sequence,object_category,defect_name,source_image,source_relative_path,original_copied_image,plate_image,reason,status
2026-07-15T18:25:40+08:00,024,multiwell_plate_24,damage,D:\学校\假期\container-1\empty_container\multiwell_plate_24\damage\crack\analytical_balance-002\view_001_rgb.png,empty_container/multiwell_plate_24/damage/crack/analytical_balance-002/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_24\damage\images\009__crack__analytical_balance-002__view_001_rgb.png,D:\学校\假期\标注\plate\damage\images\multiwell_plate_24__009__crack__analytical_balance-002__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,025,multiwell_plate_24,damage,D:\学校\假期\container-1\empty_container\multiwell_plate_24\damage\crack\transfer_stage-002\view_001_rgb.png,empty_container/multiwell_plate_24/damage/crack/transfer_stage-002/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_24\damage\images\010__crack__transfer_stage-002__view_001_rgb.png,D:\学校\假期\标注\plate\damage\images\multiwell_plate_24__010__crack__transfer_stage-002__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,026,multiwell_plate_24,damage,D:\学校\假期\container-1\empty_container\multiwell_plate_24\damage\crack\transfer_stage-002\view_002_rgb.png,empty_container/multiwell_plate_24/damage/crack/transfer_stage-002/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_24\damage\images\011__crack__transfer_stage-002__view_002_rgb.png,D:\学校\假期\标注\plate\damage\images\multiwell_plate_24__011__crack__transfer_stage-002__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,088,multiwell_plate_06,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\liquid_residue\colorless_liquid\analytical_balance-001\view_001_rgb.png,empty_container/multiwell_plate_06/liquid_residue/colorless_liquid/analytical_balance-001/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_06\liquid_residue\images\050__colorless_liquid__analytical_balance-001__view_001_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_06__050__colorless_liquid__analytical_balance-001__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,089,multiwell_plate_06,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\liquid_residue\colorless_liquid\analytical_balance-001\view_002_rgb.png,empty_container/multiwell_plate_06/liquid_residue/colorless_liquid/analytical_balance-001/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_06\liquid_residue\images\051__colorless_liquid__analytical_balance-001__view_002_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_06__051__colorless_liquid__analytical_balance-001__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,090,multiwell_plate_06,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\liquid_residue\colorless_liquid\analytical_balance-002\view_001_rgb.png,empty_container/multiwell_plate_06/liquid_residue/colorless_liquid/analytical_balance-002/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_06\liquid_residue\images\052__colorless_liquid__analytical_balance-002__view_001_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_06__052__colorless_liquid__analytical_balance-002__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,091,multiwell_plate_06,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\liquid_residue\colorless_liquid\analytical_balance-002\view_002_rgb.png,empty_container/multiwell_plate_06/liquid_residue/colorless_liquid/analytical_balance-002/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_06\liquid_residue\images\053__colorless_liquid__analytical_balance-002__view_002_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_06__053__colorless_liquid__analytical_balance-002__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,092,multiwell_plate_06,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\liquid_residue\colorless_liquid\transfer_stage-001\view_001_rgb.png,empty_container/multiwell_plate_06/liquid_residue/colorless_liquid/transfer_stage-001/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_06\liquid_residue\images\054__colorless_liquid__transfer_stage-001__view_001_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_06__054__colorless_liquid__transfer_stage-001__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,093,multiwell_plate_06,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\liquid_residue\colorless_liquid\transfer_stage-001\view_002_rgb.png,empty_container/multiwell_plate_06/liquid_residue/colorless_liquid/transfer_stage-001/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_06\liquid_residue\images\055__colorless_liquid__transfer_stage-001__view_002_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_06__055__colorless_liquid__transfer_stage-001__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,094,multiwell_plate_06,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\liquid_residue\colorless_liquid\transfer_stage-002\view_001_rgb.png,empty_container/multiwell_plate_06/liquid_residue/colorless_liquid/transfer_stage-002/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_06\liquid_residue\images\056__colorless_liquid__transfer_stage-002__view_001_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_06__056__colorless_liquid__transfer_stage-002__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,095,multiwell_plate_06,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\liquid_residue\colorless_liquid\transfer_stage-002\view_002_rgb.png,empty_container/multiwell_plate_06/liquid_residue/colorless_liquid/transfer_stage-002/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_06\liquid_residue\images\057__colorless_liquid__transfer_stage-002__view_002_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_06__057__colorless_liquid__transfer_stage-002__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,105,multiwell_plate_24,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_24\liquid_residue\colorless_liquid\analytical_balance-001\view_001_rgb.png,empty_container/multiwell_plate_24/liquid_residue/colorless_liquid/analytical_balance-001/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_24\liquid_residue\images\054__colorless_liquid__analytical_balance-001__view_001_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_24__054__colorless_liquid__analytical_balance-001__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,106,multiwell_plate_24,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_24\liquid_residue\colorless_liquid\analytical_balance-001\view_002_rgb.png,empty_container/multiwell_plate_24/liquid_residue/colorless_liquid/analytical_balance-001/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_24\liquid_residue\images\055__colorless_liquid__analytical_balance-001__view_002_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_24__055__colorless_liquid__analytical_balance-001__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,107,multiwell_plate_24,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_24\liquid_residue\colorless_liquid\analytical_balance-002\view_001_rgb.png,empty_container/multiwell_plate_24/liquid_residue/colorless_liquid/analytical_balance-002/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_24\liquid_residue\images\056__colorless_liquid__analytical_balance-002__view_001_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_24__056__colorless_liquid__analytical_balance-002__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,108,multiwell_plate_24,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_24\liquid_residue\colorless_liquid\analytical_balance-002\view_002_rgb.png,empty_container/multiwell_plate_24/liquid_residue/colorless_liquid/analytical_balance-002/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_24\liquid_residue\images\057__colorless_liquid__analytical_balance-002__view_002_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_24__057__colorless_liquid__analytical_balance-002__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,109,multiwell_plate_24,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_24\liquid_residue\colorless_liquid\transfer_stage-001\view_001_rgb.png,empty_container/multiwell_plate_24/liquid_residue/colorless_liquid/transfer_stage-001/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_24\liquid_residue\images\058__colorless_liquid__transfer_stage-001__view_001_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_24__058__colorless_liquid__transfer_stage-001__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,110,multiwell_plate_24,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_24\liquid_residue\colorless_liquid\transfer_stage-001\view_002_rgb.png,empty_container/multiwell_plate_24/liquid_residue/colorless_liquid/transfer_stage-001/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_24\liquid_residue\images\059__colorless_liquid__transfer_stage-001__view_002_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_24__059__colorless_liquid__transfer_stage-001__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,111,multiwell_plate_24,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_24\liquid_residue\colorless_liquid\transfer_stage-002\view_001_rgb.png,empty_container/multiwell_plate_24/liquid_residue/colorless_liquid/transfer_stage-002/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_24\liquid_residue\images\060__colorless_liquid__transfer_stage-002__view_001_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_24__060__colorless_liquid__transfer_stage-002__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,112,multiwell_plate_24,liquid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_24\liquid_residue\colorless_liquid\transfer_stage-002\view_002_rgb.png,empty_container/multiwell_plate_24/liquid_residue/colorless_liquid/transfer_stage-002/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_24\liquid_residue\images\061__colorless_liquid__transfer_stage-002__view_002_rgb.png,D:\学校\假期\标注\plate\liquid_residue\images\multiwell_plate_24__061__colorless_liquid__transfer_stage-002__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,142,multiwell_plate_06,solid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\solid_residue\powder\analytical_balance-001\view_001_rgb.png,empty_container/multiwell_plate_06/solid_residue/powder/analytical_balance-001/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_06\solid_residue\images\067__powder__analytical_balance-001__view_001_rgb.png,D:\学校\假期\标注\plate\solid_residue\images\multiwell_plate_06__067__powder__analytical_balance-001__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,143,multiwell_plate_06,solid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\solid_residue\powder\analytical_balance-001\view_002_rgb.png,empty_container/multiwell_plate_06/solid_residue/powder/analytical_balance-001/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_06\solid_residue\images\068__powder__analytical_balance-001__view_002_rgb.png,D:\学校\假期\标注\plate\solid_residue\images\multiwell_plate_06__068__powder__analytical_balance-001__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,144,multiwell_plate_06,solid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\solid_residue\powder\analytical_balance-002\view_001_rgb.png,empty_container/multiwell_plate_06/solid_residue/powder/analytical_balance-002/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_06\solid_residue\images\069__powder__analytical_balance-002__view_001_rgb.png,D:\学校\假期\标注\plate\solid_residue\images\multiwell_plate_06__069__powder__analytical_balance-002__view_001_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,145,multiwell_plate_06,solid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_06\solid_residue\powder\analytical_balance-002\view_002_rgb.png,empty_container/multiwell_plate_06/solid_residue/powder/analytical_balance-002/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_06\solid_residue\images\070__powder__analytical_balance-002__view_002_rgb.png,D:\学校\假期\标注\plate\solid_residue\images\multiwell_plate_06__070__powder__analytical_balance-002__view_002_rgb.png,no_json,unusable
2026-07-15T18:25:40+08:00,152,multiwell_plate_11,solid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_11\solid_residue\powder\analytical_balance-002\view_001_rgb.png,empty_container/multiwell_plate_11/solid_residue/powder/analytical_balance-002/view_001_rgb.png,D:\学校\假期\标注\multiwell_plate_11\solid_residue\images\048__powder__analytical_balance-002__view_001_rgb.png,D:\学校\假期\标注\plate\solid_residue\images\multiwell_plate_11__048__powder__analytical_balance-002__view_001_rgb.png,empty_json_no_box,unusable
2026-07-15T18:25:40+08:00,153,multiwell_plate_11,solid_residue,D:\学校\假期\container-1\empty_container\multiwell_plate_11\solid_residue\powder\analytical_balance-002\view_002_rgb.png,empty_container/multiwell_plate_11/solid_residue/powder/analytical_balance-002/view_002_rgb.png,D:\学校\假期\标注\multiwell_plate_11\solid_residue\images\049__powder__analytical_balance-002__view_002_rgb.png,D:\学校\假期\标注\plate\solid_residue\images\multiwell_plate_11__049__powder__analytical_balance-002__view_002_rgb.png,no_json,unusable
